numbers,monitornumbers.started,first_press,second_press,first_rt,second_rt,correct,correct2,trials_2.monitornumbers_resp.rt,matches,
3,70.10678554,None,NA,NA,NA,NA,NA,,,
7,70.60427825,None,NA,NA,NA,NA,NA,,,
1,71.10424033,None,NA,NA,NA,NA,NA,,,
8,71.60421921,7,NA,0.133909875,NA,FALSE,NA,0.13390987500315532,1.133850833,
6,72.10479983,8,NA,0.203220834,NA,FALSE,NA,0.2032208340096986,0.703801459,
4,72.60392538,None,NA,NA,NA,NA,NA,,,
1,73.10375075,4,NA,0.368832334,NA,FALSE,NA,0.36883233400294557,0.868657709,
8,73.60746596,None,NA,NA,NA,NA,NA,,,
6,74.10473396,7,8,0.057687875,0.097535041,FALSE,FALSE,"0.05768787499982864, 0.09753504100081045",0.594803041,
4,74.60388046,None,NA,NA,NA,NA,NA,,,
2,75.10369846,None,NA,NA,NA,NA,NA,,,
5,75.60412338,None,NA,NA,NA,NA,NA,,,
1,76.10524942,None,NA,NA,NA,NA,NA,,,
8,76.6040665,None,NA,NA,NA,NA,NA,,,
3,77.10326883,8,NA,0.040261083,NA,FALSE,NA,0.040261083,0.539463416,
7,77.60440463,3,NA,0.179862625,NA,FALSE,NA,0.17986262500926387,0.680998417,
2,78.10507771,5,NA,0.235734458,NA,FALSE,NA,0.23573445799411274,ERROR,WRONG
9,78.60413583,None,NA,NA,NA,NA,NA,,,
2,79.10440571,9,NA,0.092129041,NA,FALSE,NA,0.092129041,0.592398916,
5,79.60482371,None,NA,NA,NA,NA,NA,,,
6,80.10426779,3,NA,0.430537042,NA,FALSE,NA,0.4305370419897372,ERROR,WRONG
4,80.60664842,4,NA,0.039674375,NA,TRUE,NA,0.039674375,0.039674375,TOO FAST
1,81.10430767,None,NA,NA,NA,NA,NA,,,
8,81.60407046,None,NA,NA,NA,NA,NA,,,
3,82.10423667,None,NA,NA,NA,NA,NA,,,
7,82.60363375,4,NA,0.123115167,NA,FALSE,NA,0.12311516699264757,2.1201005,
2,83.10387883,7,NA,0.441966083,NA,FALSE,NA,0.44196608300262596,0.942211166,
5,83.60438142,None,NA,NA,NA,NA,NA,,,
6,84.10419896,None,NA,NA,NA,NA,NA,,,
4,84.60422633,None,NA,NA,NA,NA,NA,,,
3,85.10483625,3,NA,0.23757225,NA,TRUE,NA,0.23757225000008475,0.23757225,
7,85.60429304,None,NA,NA,NA,NA,NA,,,
6,86.10585096,9,8,0.234913292,0.323370958,FALSE,FALSE,"0.2349132919916883, 0.32337095799448434",ERROR,
4,86.60449192,None,NA,NA,NA,NA,NA,,,
2,87.10449071,3,NA,0.121982542,NA,FALSE,NA,0.12198254199756775,ERROR,
5,87.60639996,None,NA,NA,NA,NA,NA,,,
6,88.10442075,8,NA,0.177073291,NA,FALSE,NA,0.17707329100812785,ERROR,
4,88.60469888,None,NA,NA,NA,NA,NA,,,
2,89.10424675,None,NA,NA,NA,NA,NA,,,
5,89.60434042,5,NA,0.469944625,NA,TRUE,NA,0.4699446250015171,0.469944625,
6,90.10929012,None,NA,NA,NA,NA,NA,,,
4,90.60446042,None,NA,NA,NA,NA,NA,,,
3,91.10418092,4,NA,0.046558333,NA,FALSE,NA,0.046558333,0.546278833,
7,91.60385479,3,NA,NA,NA,FALSE,NA,None,,
2,92.10364092,7,NA,0.129951583,NA,FALSE,NA,0.12995158300327603,0.629737708,
5,92.604818,None,NA,NA,NA,NA,NA,,,
6,93.10430996,4,NA,0.096658084,NA,FALSE,NA,0.096658084,ERROR,
4,93.60466042,5,NA,0.080851542,NA,FALSE,NA,0.080851542,1.080693959,
1,94.10430313,3,NA,0.181289,NA,FALSE,NA,0.18128900000010617,ERROR,
8,94.60439804,None,NA,NA,NA,NA,NA,,,
3,95.10448204,7,8,0.083538917,0.153206625,FALSE,FALSE,"0.08353891700971872, 0.1532066250074422",0.653290625,CORRECTED 2ND
7,95.605297,4,NA,0.225480125,NA,FALSE,NA,0.22548012499464676,ERROR,
1,96.1045455,None,NA,NA,NA,NA,NA,,,
8,96.60418875,None,NA,NA,NA,NA,NA,,,
6,97.10423225,8,NA,0.17600125,NA,FALSE,NA,0.1760012500017183,0.67604475,
4,97.60467429,None,NA,NA,NA,NA,NA,,,
3,98.1041655,None,NA,NA,NA,NA,NA,,,
7,98.60406304,4,NA,0.117828875,NA,FALSE,NA,0.11782887499430217,1.117217625,
6,99.10439192,None,NA,NA,NA,NA,NA,,,
4,99.604799,None,NA,NA,NA,NA,NA,,,
2,100.1043346,None,NA,NA,NA,NA,NA,,,
5,100.6039257,None,NA,NA,NA,NA,NA,,,
2,101.1042101,4,NA,0.0065155,NA,FALSE,NA,0.0065155,1.505926625,
9,101.6040531,None,NA,NA,NA,NA,NA,,,
6,102.1090379,9,NA,0.287907541,NA,FALSE,NA,0.28790754100191407,0.792892291,
4,102.6030094,None,NA,NA,NA,NA,NA,,,
3,103.1047721,4,NA,0.006912084,NA,FALSE,NA,0.006912084,0.508674834,
7,103.6054907,3,NA,0.224111875,NA,FALSE,NA,0.22411187500983942,0.7248305,
1,104.1043063,7,NA,0.252984042,NA,FALSE,NA,0.2529840420029359,0.751799584,
8,104.6051071,None,NA,NA,NA,NA,NA,,,
3,105.1056257,8,NA,0.11691375,NA,FALSE,NA,0.11691374999645632,0.617432375,
7,105.6049222,3,NA,0.170583792,NA,FALSE,NA,0.17058379200170748,0.669880251,
6,106.1045805,8,7,0.347591125,0.424774791,FALSE,FALSE,"0.34759112499887124, 0.42477479099761695",0.924433124,CORRECTED 2ND
4,106.6040799,None,NA,NA,NA,NA,NA,,,
1,107.1032388,None,NA,NA,NA,NA,NA,,,
8,107.6040499,None,NA,NA,NA,NA,NA,,,
6,108.104216,None,NA,NA,NA,NA,NA,,,
4,108.6047858,None,NA,NA,NA,NA,NA,,,
2,109.1060533,4,NA,0.170552708,NA,FALSE,NA,0.17055270800483413,0.671820208,
9,109.6043835,None,NA,NA,NA,NA,NA,,,
6,110.1039867,9,NA,0.05713825,NA,FALSE,NA,0.057138250005664304,0.5567415,
4,110.6044944,9,NA,0.434452084,NA,FALSE,NA,0.4344520840095356,DUPLICATE,
1,111.1057522,4,NA,0.02790075,NA,FALSE,NA,0.027900750006665476,0.529158541,
8,111.6030235,None,NA,NA,NA,NA,NA,,,
6,112.1051883,8,NA,0.031767042,NA,FALSE,NA,0.031767042,0.53393175,
4,112.6038447,None,NA,NA,NA,NA,NA,,,
2,113.1041718,4,NA,0.029976,NA,FALSE,NA,0.029976,0.530303083,
5,113.6042894,None,NA,NA,NA,NA,NA,,,
1,114.1045728,5,NA,0.08045875,NA,FALSE,NA,0.08045875,0.580742167,
8,114.6054887,None,NA,NA,NA,NA,NA,,,
1,115.1045039,8,NA,0.078864458,NA,FALSE,NA,0.078864458,0.577879625,
8,115.6039896,8,NA,0.470267584,NA,TRUE,NA,0.4702675839944277,0.470267584,
2,116.109266,None,NA,NA,NA,NA,NA,,,
9,116.6083,None,NA,NA,NA,NA,NA,,,
1,117.109427,9,NA,0.146110958,NA,FALSE,NA,0.14611095799773466,0.647238,
8,117.6043298,None,NA,NA,NA,NA,NA,,,
3,118.103125,8,NA,0.024415292,NA,FALSE,NA,0.024415292,0.5232105,
7,118.6065753,4,NA,0.137948,NA,FALSE,NA,0.13794800000323448,WRONG,
6,119.1040824,None,NA,NA,NA,NA,NA,,,
4,119.604509,None,NA,NA,NA,NA,NA,,,
1,120.1044659,None,NA,NA,NA,NA,NA,,,
8,120.6045149,None,NA,NA,NA,NA,NA,,,
2,121.1039556,8,NA,0.00683375,NA,FALSE,NA,0.00683375,0.506274458,
9,121.6040723,4,NA,0.267287708,NA,FALSE,NA,0.26728770800400525,WRONG,
1,122.104199,9,NA,0.142784,NA,FALSE,NA,0.14278399999602698,0.642910708,
8,122.707058,None,NA,NA,NA,NA,NA,,,
3,123.1038934,8,NA,0.15553275,NA,FALSE,NA,0.15553274999547284,0.552368125,
7,123.6032461,3,NA,0.35294425,NA,FALSE,NA,0.3529442500002915,0.852296916,
6,124.1066253,7,NA,0.431241208,NA,FALSE,NA,0.43124120800348464,0.934620375,
4,124.6033579,None,NA,NA,NA,NA,NA,,,
3,125.104102,None,NA,NA,NA,NA,NA,,,
7,125.6026193,3,NA,0.184393583,NA,FALSE,NA,0.18439358299656305,0.682910833,
2,126.1038732,8,NA,0.307335458,NA,FALSE,NA,0.3073354579973966,WRONG,
9,126.6039591,None,NA,NA,NA,NA,NA,,,
3,127.1030222,9,NA,0.307008,NA,FALSE,NA,0.3070080000034068,0.806071084,
7,127.6029311,None,NA,NA,NA,NA,NA,,,
2,128.1039302,7,NA,0.140516458,NA,FALSE,NA,0.1405164580064593,0.641515625,
5,128.6049173,None,NA,NA,NA,NA,NA,,,
3,129.1038574,None,NA,NA,NA,NA,NA,,,
7,129.6040557,3,NA,0.104800875,NA,FALSE,NA,0.10480087500764057,0.604999208,
6,130.1036992,7,NA,0.180160875,NA,FALSE,NA,0.18016087499563582,0.679804292,
4,130.604781,None,NA,NA,NA,NA,NA,,,
1,131.1039589,None,NA,NA,NA,NA,NA,,,
8,131.6042428,None,NA,NA,NA,NA,NA,,,
2,132.104083,8,NA,0.031016667,NA,FALSE,NA,0.031016667009680532,0.530856875,
9,132.6062818,9,NA,0.463926958,NA,TRUE,NA,0.46392695799295325,0.463926958,
3,133.1090496,None,NA,NA,NA,NA,NA,,,
7,133.6037732,3,NA,0.086756625,NA,FALSE,NA,0.086756625,0.581480208,
6,134.1040392,7,NA,0.181647959,NA,FALSE,NA,0.18164795900520403,0.681913918,
4,134.6043137,None,NA,NA,NA,NA,NA,,,
3,135.1089389,5,NA,0.048251625,NA,FALSE,NA,0.048251625,WRONG,
7,135.60403,None,NA,NA,NA,NA,NA,,,
2,136.1040737,None,NA,NA,NA,NA,NA,,,
5,136.6040008,None,NA,NA,NA,NA,NA,,,
3,137.1040172,None,NA,NA,NA,NA,NA,,,
7,137.6039844,3,NA,0.115180292,NA,FALSE,NA,0.11518029200669844,0.615147459,
1,138.1035645,None,NA,NA,NA,NA,NA,,,
8,138.6042995,None,NA,NA,NA,NA,NA,,,
2,139.1039447,8,NA,0.205732083,NA,FALSE,NA,0.2057320829917444,0.705377333,
5,139.6040184,None,NA,NA,NA,NA,NA,,,
2,140.1042703,5,NA,0.053597292,NA,FALSE,NA,0.053597292,0.553849167,
9,140.604142,None,NA,NA,NA,NA,NA,,,
3,141.1048678,9,NA,0.012833625,NA,FALSE,NA,0.012833625005441718,0.513559375,
7,141.6042161,3,NA,0.122294042,NA,FALSE,NA,0.12229404199752025,0.621642375,
6,142.1040178,7,NA,0.404409875,NA,FALSE,NA,0.40440987500187475,0.904211583,
4,142.6040488,None,NA,NA,NA,NA,NA,,,
2,143.103779,None,NA,NA,NA,NA,NA,,,
5,143.6042377,None,NA,NA,NA,NA,NA,,,
3,144.1026499,5,NA,0.022565875,NA,FALSE,NA,0.022565875,0.520978083,
7,144.6035585,4,NA,0.038931875,NA,FALSE,NA,0.038931875,WRONG,one over
